 ,
COVER_TYPE,Description
FOR,Forbs
GAF,Arizona Fescue Grassland
GFE,Fescue grasslands (SRM 613)
GPO,Bluegrass Scabland (SRM 106) 
GRA,Grass/grass-like 
GRU,Rushes 
GWE,Tufted hairgrass 3edge (SRM 313) 
NBA,Bare
NRK,Rock/soil
SAL,Alder (SRM 901) 
SGO,Gambel oak (SRM 413) 
SHR,Shrubs
SMS,True mountain-mahogany (SRM 416)
SPP,
SRB,
SSA,Sagebrush
SSN,Snowberry (SRM 420) 
SWI,Willow (SRM 921) 
TAA,Aspen (SAF 217) 
TBC,Bristlecone pine (SAF 209) 
TBS,Blue spruce (SAF 216) 
TCW,Cottonwood (SAF 235) 
TDF,Douglas fir (SAF 210)
TGO,Douglas fir (SAF 210)
TLI,Limber pine (SAF 219) 
TLP,Lodgepole pine (SAF 218)
TPJ,Pinyon/juniper (SAF 239)
TPP,Ponderosa pine (SAF 237)
TRE,Trees
TSF,Spruce/fir (SAF 206) 
TWF,White fir (SAF 211) 
WAT,Water
